,Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
0,Total,,,1518192.0,99311.4246,22492.0,16821579,3.86
1,Y5atyJbVsAU,Build Your Own AI Assistant Part 1 - Creating the Assistant,"Apr 19, 2021",91889.0,6616.7672,2195.0,826307,4.26
2,KPfBOGjJdqE,Control Arduino with  Python using Firmata / PyFirmata,"Aug 2, 2021",71997.0,4369.5056,923.0,714523,6.25
3,0sPPxIq4hg8,Build your own web server using a Raspberry Pi Pico W using Phew!,"Aug 29, 2022",39859.0,5724.766,590.0,551561,3.66
4,hiVcgUdjy0A,"Node-Red Automation, MQTT, NodeMCU & MicroPython","Mar 29, 2021",32772.0,4731.7602,557.0,478008,3.75
5,VFC4XTRUNYk,Raspberry Pi Pico Wifi Module - how to add Wifi to your Pico Projects,"Aug 11, 2021",32433.0,1163.3378,275.0,186422,8.03
6, -BObt8inVs8,"How to Map with LiDAR - using a Raspberry Pi Zero 2W, RPLidar and Rviz","Mar 14, 2022",29420.0,1680.5497,407.0,217807,5.89
7,fmgQ8Dcg9uM,Install MicroPython on ESP8266 & ESP32,"May 26, 2021",24447.0,706.8925,167.0,159620,8.61
8,1VhmBdHHU0I,Just donâ€™t make it angry,"Nov 7, 2022",20779.0,69.6025,53.0,9360,3.3
9,o8Cvr9nuccs,Raspberry Pi 4 & VS Code,"Feb 12, 2021",20592.0,939.0703,153.0,115094,8.88
10,436VDF-rk4w,ESP32CAM for Robotics - MicroPython and SMARS,"Sep 3, 2021",20435.0,1037.1407,171.0,172021,5.69
11,PdYxop5aa2E,Raspberry Pi Pico and the nRF24L01 radio module - how to get this working with MicroPython,"Aug 26, 2021",20369.0,884.3123,180.0,113205,6.56
12,QeDnjcdGrpY,"Micropython Threads - Use Both Cores, on Raspberry Pi Pico and ESP32","Dec 13, 2021",19476.0,2830.9895,344.0,301645,2.93
13,A7ZJ5TC-zUk,Moving from Arduino to MicroPython - 10 Things you need to know.,"Jun 24, 2021",18831.0,1478.1539,208.0,242395,5.32
14,x4nE1o5JsSg,Visual Studio Code setup for Raspberry Pi Pico,"May 24, 2021",18333.0,631.0116,81.0,102536,9.68
15,OIqkmgOY_Ws,Installing ROS on a Raspberry Pi 4/400,"Oct 25, 2021",15935.0,1193.1044,238.0,122524,5.67
16,ZWTEO--0TWc,Raspberry Pi Pico W - the new Raspberry Pi Pico with Wifi,"Jun 30, 2022",15413.0,1013.9879,332.0,206726,4.02
17,x5guwxSoNcE,Build Your Own AI Assistant Part 2 - To Do lists!,"Jun 18, 2021",14893.0,555.2691,105.0,130426,7.17
18,F5Bq7HVJkX0,How to use an Xbox Controller with your Robot,"Mar 21, 2022",14532.0,613.6165,109.0,94781,7.94
19,N3jwEVbZyXY,LEARNING PYTHON - INTRODUCTION - for Raspberry Pi Python Robots,"Jul 27, 2020",14317.0,1058.4299,268.0,49694,8.12
20,LwKOvT7rCiU,Raspberry Pi Zero Thermal Printer fun project,"Jul 29, 2021",14012.0,527.0986,50.0,84174,7.45
21,4BEjKUK8DSQ,Is the Raspberry Pi High-Quality Camera worth it? & Build your own Camera,"Aug 22, 2022",13547.0,831.2553,147.0,46836,3.96
22,iIdoXzcuV2Q,Home Automation with Python and Home Assistant,"Jun 27, 2022",12668.0,1167.6054,140.0,85059,6.4
23,nW5FUVzYCKM,Inverse Kinematics in Python and MicroPython,"Sep 20, 2021",12493.0,1000.5724,276.0,98061,4.97
24,kJpLMBqNcIQ,Jetson Nano Custom Object Detection - how to train your own AI,"Aug 23, 2021",12430.0,946.8601,159.0,144526,4.17
25,kgjmw6SsKMc,Rotary Display Menu for Raspberry Pi Pico in MicroPython,"May 15, 2021",12270.0,435.9675,224.0,104373,5.16
26,yU8QGiHplgA,Raspberry Pi Pico & Bluetooth,"May 6, 2021",12117.0,1302.0931,136.0,162992,3.73
27,ph10GSO8pDk,Raspberry Pi Pico & MPU9250 with MicroPython,"May 3, 2021",11512.0,1376.6214,141.0,105410,4.27
28,g599FlcKgxA,Managing files on the Pico with MicroPython,"May 11, 2021",11353.0,466.2618,75.0,65729,3.99
29,ld2lKS7sIBA,I made a robot that can see using sound. #shorts,"Nov 3, 2022",11077.0,43.9219,29.0,91944,3.1
30,tDDkz3Xdhuo,The new Raspberry Pi Debug Probe,"Feb 20, 2023",11054.0,403.2737,67.0,74859,7.05
31,hV9GTqXLMpg,Raspberry Pi Pico & RFID,"Nov 22, 2021",11012.0,1050.039,116.0,108568,4.84
32,vXYzJ1os4NA,Eben Upton on the new Raspberry Pi 5,"Sep 28, 2023",10890.0,2315.1617,103.0,231360,2.59
33,YOkV1WJLx3M,Compute Module 4 & IO Board - Worth it?,"Feb 23, 2022",10871.0,654.0899,39.0,90494,6.5
34,nvx9jJhSELQ,"How to run Python programs at startup, on Raspberry Pi","May 26, 2022",10780.0,441.9682,73.0,62674,4.32
35,x4dZafO5FNg,DO THIS to connect two Picos together - to Pico Communication via UART,"Aug 26, 2022",10484.0,466.1553,76.0,82117,4.78
36,-0wCtKz1l78,How to make a Bluetooth remote using a Raspberry Pi Pico W and MicroPython,"Jul 2, 2023",9881.0,1029.5199,153.0,96411,3.69
37,TkuDQ-SzXwU,Learn MicroPython - Part 1 Controlling the flow,"Nov 20, 2022",9834.0,817.7871,206.0,140634,3.26
38,W3V-NU0tcqo,"Using the Raspberry Pi Pico, PCA9685 and MicroPython for Robotics","Mar 8, 2021",9664.0,1163.6106,142.0,100798,3.75
39,2DVDKU0I9fs,They Just Killed Pi - 7 April 2022 Raspberry Pi Bullseye Update,"Apr 7, 2022",9277.0,362.1289,79.0,65046,7.48
40,btG3Pd8ZlBw,Virtual Pet Code in MicroPython on the Raspberry Pi Pico - Pico-Tamachibi,"Oct 3, 2021",9224.0,751.1367,132.0,76743,5.28
41,9YvWT8bNllU,Auto-start scripts on MicroPython,"May 12, 2021",9178.0,410.02,65.0,84377,4.49
42,nwxzu0MQT5Y,How to render a Fusion 360 Animation in Blender,"Mar 23, 2022",8797.0,467.2233,89.0,68309,4.12
43,DhYO_-HHBrs,How to add Wireless Charging to your Robot projects (it's so easy),"Aug 5, 2021",8727.0,360.3703,85.0,75025,5.56
44,_amnSorlPaM,Face Detection using OpenCV using a Raspberry Pi Zero,"Jul 22, 2021",8616.0,523.5185,106.0,74845,5.38
45,ILELVP0kFl8,Rotary Encoders with the Raspberry Pi Pico and MicroPython,"May 13, 2021",8430.0,283.6818,101.0,80261,3.97
46,2Y42DSZpR0w,How to build a captive portal with MicroPython - the easiest way EVER!,"Sep 5, 2022",8407.0,1119.5242,148.0,113696,3.42
47,ZzJC3sX_oF4,Best night of his life,"Oct 12, 2022",8233.0,25.1807,13.0,7230,2.28
48,ysNTEy1lUKo,Chris Barnatt on the new Raspberry Pi 5,"Sep 28, 2023",7982.0,835.2511,72.0,111722,5.01
49,Wi8qPuMMo-0,"Cray-1 Raspberry Pi Supercomputer, but how fast and why? - Part 4","Feb 17, 2022",7914.0,351.858,70.0,51706,6.01
50,KtyLPHXFpD0,What happens when robots die?,"Oct 11, 2022",7710.0,24.8981,20.0,19972,2.44
51,D2SgH5qxJuI,Pomodoro robot! This is a work in progress but too cute not to share! Subscribe for more robot stuff,"Sep 30, 2022",7492.0,23.3861,17.0,17388,6.11
52,03wKo-riJlA,Learn ROS with me - Setting up the Raspberry Pi,"Jan 9, 2023",7306.0,682.3674,125.0,78229,4.94
53,J_CkQ36tVA4,Raspberry Pi Camera Module V3 - new for January 2023,"Jan 9, 2023",7284.0,307.5884,69.0,87635,4.43
54,2rIJFSLZzhM,Build Your Own AI Assistant Part 3 - Object Classification with Python,"Jul 12, 2021",7252.0,498.6478,95.0,76548,5.94
55,GX6NnQUZ_Js,Raspberry Pi Pico & SSD1306 Display with MicroPython,"Apr 29, 2021",6794.0,902.8766,113.0,107703,3.29
56,dOEjfBplueM,Raspberry Pi Pico W Robot - Hacking Big Mouth Billy Bass,"Jul 11, 2022",6696.0,502.6996,99.0,57797,2.9
57,MWKnMPX0Yjg,An introduction to ROS the Robot Operating System,"Oct 21, 2021",6690.0,460.319,133.0,64177,4.13
58,UySK0AggZZY,How to install ROS in Docker - on Raspberry Pi 4 running Ubuntu,"Oct 28, 2021",6590.0,277.6988,64.0,62262,4.96
59,snGTvIlW96I,SMARSFan Live Channel Introduction Dec 2020,"Dec 3, 2020",6338.0,72.5698,22.0,52578,1.08
60,txKJmd2P_e4,Build Your Own AI Assistant Part 4 - Weather Skill,"Jul 19, 2021",6307.0,486.2948,75.0,73213,5.23
61,_cTJhCRv858,Build a ROS robot - Learn ROS with me Part 1,"Jan 2, 2023",6131.0,527.8019,173.0,62553,5.26
62,QlOZAuy6DsU,Make your own GhostBox - using a Raspberry Pi Pico,"Oct 17, 2022",6073.0,354.2843,91.0,63292,5.02
63,c6D1JRDddkE,Pico-Tamachibi - A Raspberry Pi Pico Powered Virtual Pet,"Sep 29, 2021",6015.0,85.0101,25.0,31607,5.61
64,q5lML34Noio,Build a ChatGPT-Like language model in Python on a Raspberry Pi,"Mar 20, 2023",5978.0,461.1731,88.0,62466,3.85
65,mTz-nFvCBhA,Potentiometers and Pico with MicroPython,"May 17, 2021",5859.0,194.8018,57.0,55407,3.82
66,EpvVYyKwfjs,"4x4 Keypads, Raspberry Pi Pico and MicroPython","May 18, 2021",5775.0,207.2273,69.0,50896,4.19
67,ERdmCimt1do,How to load MicroPython onto the Raspberry Pi Pico,"May 10, 2021",5731.0,127.5712,34.0,50929,3.11
68,YBu6GKnN4lk,Raspberry Pi Pico & VL53L0X for MicroPython,"Mar 11, 2021",5650.0,482.5713,98.0,50217,4.67
69,jcGF-C6t1LI,Cyber Glasses you can hack yourself - Raspberry Pi Pico Powered glasses for Soldering,"May 9, 2022",5642.0,259.5745,66.0,27616,2.18
70,aXW4dqvjFx0,What can a SMARS robot do?,"Jan 7, 2021",5631.0,140.6576,45.0,48586,6.19
71,hYpbKisRudo,"Wireless Charging - How to add it to Raspberry Pi Pico, ESP32, Arduino micro:bit projects #Shorts","Aug 5, 2021",5559.0,44.421,10.0,66929,1.35
72,dfquulcbD7M,"Raspberry Pi 5 Projects, you have to make","Oct 16, 2023",5530.0,616.7547,51.0,70499,4.98
73,NJYgDpr7QrI,Hi Barbie! Hey Ken! #barbie #robotics,"Aug 10, 2023",5453.0,18.4884,7.0,6383,2.96
74,xu8tuDvP6PQ,How to make a Robot Cry,"Nov 18, 2020",5440.0,37.6332,22.0,66768,3.67
75,uRNsqHZEzUM,Python for Robotics - Beyond Basics,"Jun 13, 2022",5395.0,295.9299,106.0,80087,3.17
76,Gl4o4iHPvDM,Pico SMARS - A Raspberry Pi Pico Powered SMARS,"Apr 15, 2021",5393.0,351.0008,64.0,32723,4.41
77,lKxJUViQsW8,How to design and make a robot,"Dec 19, 2022",5369.0,629.5608,102.0,84338,3.45
78,2nn7Y-zu3Ac,Version 4 SMARS vs Original SMARS robot - whatâ€™s the difference?,"Jan 13, 2021",5222.0,382.2391,61.0,59583,5.19
79,yjy5BMfzijQ,Raspberry Pi Pico for Robotics,"Jan 25, 2021",5100.0,701.5708,101.0,109663,2.12
80,Xxiu7guEqDU,Chromium OS on Raspberry Pi,"Apr 19, 2016",5065.0,17.1528,5.0,2053,1.7
81,1lI7aIMrM8E,MicroPython & Wifi,"May 31, 2021",4818.0,626.5524,66.0,62248,3.6
82,VLlEx15h3jU,Mecanum wheels are so coolâ€¦ #shorts,"Oct 15, 2022",4734.0,20.4282,13.0,53416,3.09
83,U_7eDCYPado,What is PicoZero?,"May 11, 2022",4714.0,220.4612,32.0,55961,4.66
84,ypfJIqhkFvo,ESP32CAM For Robotics - #Shorts,"Sep 3, 2021",4614.0,32.248,24.0,87912,1.56
85,ghAnP18sbl8,"Learn MicroPython - Part 2 If, Else & Data Types","Nov 27, 2022",4608.0,406.324,29.0,78439,2.2
86,SkSTLNIxrKQ,Raspberry Pi Zero Thermal Printer #Shorts,"Jul 27, 2021",4527.0,23.7674,16.0,46685,3.22
87,jnPR6XAuJ2U,Raspberry Pi Pico W Robot - Burgerbot gets an upgrade,"Jul 4, 2022",4513.0,316.4935,49.0,52169,2.57
88,6ZcjfJQWC8k,Raspberry Pi Pico Case design in Fusion 360,"Feb 4, 2021",4408.0,327.7406,33.0,38224,3.62
89,10x2NQdHYiw,Raspberry Pi OS 64 bit - Upgrade now or wait?,"Feb 3, 2022",4389.0,127.0359,28.0,35252,4.2
90,9txATldoURE,PicoCat v2 with the new Pimoroni Servo 2040 - is this the best board they've ever made?,"Mar 28, 2022",4329.0,287.4448,44.0,58796,2.05
91,XTUOUlSnVpc,Raspberry Pi Pico W Ghostbusters PKE style Wifi Scanner,"Jul 18, 2022",4188.0,283.5099,52.0,32959,2.9
92,W6DkIrMIrBo,Pimoroni Factory Tour (on the Pico W Launch Day),"Jun 30, 2022",4186.0,211.163,18.0,74149,4.19
93,0wB2i8DFehw,Meet Clustered-Pi - the Raspberry Pi Zero cluster - Clustered-Pi Part 1,"Nov 28, 2021",4157.0,335.5843,56.0,35873,4.5
94,6u7YaIUaNxI,Upgrading Raspberry Pi OS - Without Loosing Files,"Nov 9, 2021",4129.0,155.0671,23.0,35388,3.8
95,F-eNnlQrJic,There is something unholy in here #shorts,"Oct 14, 2022",4124.0,13.2675,10.0,6345,2.13
96,iSTlP4Lbibs,"Raspberry Pi Pico, 7 Segment Displays and 74hc595 shift registers","May 10, 2021",3964.0,419.4875,44.0,49139,2.96
97,MVxNqvAWJbM,"Cyberdog build, an RGB LED dog coat powered by Raspberry Pi Pico W","Sep 7, 2022",3961.0,15.7024,3.0,52236,2.24
98,0XZPE4S9fZo,PiDeck - the Stream Deck alternative you can make yourself,"Mar 3, 2022",3936.0,160.4969,34.0,32946,4.76
99,z6uS8P0E8sE,InMoov Robot Head build update,"Dec 8, 2020",3833.0,91.0962,46.0,38003,6.15
100,4UIUC1YU_Sk,Using MQTT with Robots (And Home Automation) - Its easier than you think,"Aug 9, 2021",3785.0,395.366,81.0,30122,3.15
101,OZ60ws-5jP4,How to log motion sensor to Google sheets with a Raspberry Pi Pico W,"Aug 1, 2022",3743.0,365.7052,36.0,53977,3.36
102,bm-WNhAuWPc,Build your own Bird Detector with A.I. - TwitcherPi: The Raspberry Pi Camera Bird Classifier,"Dec 18, 2021",3732.0,202.2409,60.0,31923,3.6
103,FrLHFZZIozk,Raspberry Pi 5 - How fast is OpenCV Face detection?,"Oct 9, 2023",3629.0,366.695,68.0,61966,3.6
104,SJo5hVNk0BQ,Raspberry Pi 5 - Hands on Livestream,"Oct 1, 2023",3625.0,827.2329,57.0,79766,2.71
105,zUq0hY1B6CI,There is no Cake #shorts,"Nov 11, 2022",3594.0,12.2353,11.0,12940,2.19
106,8BCsBgt-5zY,How to create Databases in Python with SQLite,"Jul 17, 2023",3577.0,425.4917,72.0,122515,1.84
107,VbMKRb6SmX8,"Watchdog Timer - What is it, and how to use it in MicroPython","Jul 20, 2022",3574.0,149.0726,28.0,49554,2.99
108,xTgnJ6OWxfQ,"Raspberry Pi Pico, OpenCat and MicroPython","Feb 1, 2021",3523.0,406.2642,75.0,52916,3.51
109,UhDLuJYJd-c,Raspberry Pi Pico and nRF24L01 #Shorts,"Aug 26, 2021",3476.0,21.7058,8.0,42186,2.71
110,DiodH5b42-8,OMG - I got recognised! #shorts,"Nov 22, 2022",3448.0,17.8482,5.0,16317,2.16
111,pvMGdfkOf4M,Learn how to build a full size Robot.,"Nov 12, 2020",3447.0,112.1451,47.0,19296,5.45
112,354RspB34jQ,SMARS - Quad Robot walking,"Oct 11, 2018",3428.0,23.1083,6.0,17609,8.79
113,HmZF6e3I1Lo,Simple Robot Arm you can build yourself,"Sep 19, 2022",3384.0,234.3794,32.0,43522,3.59
114,M-0P6ipVwNU,Master GPIO with Raspberry Pi Pico & MicroPython - Uncover the Secrets!,"Apr 16, 2023",3362.0,200.3942,48.0,56959,3.29
115,G3d6aFIohPo,Build Your Own AI Assistant Part 6 - Skills and Plugins,"Aug 8, 2022",3351.0,245.6645,30.0,54548,3.63
116,gboF8HgULg0,This is why I donâ€™t leave the house #shorts,"Oct 8, 2022",3347.0,31.9517,15.0,17711,5.04
117,Jql-jufnDRA,Pimoroni Enviro Lineup Review - worth the upgrade?,"Aug 15, 2022",3328.0,538.7746,56.0,47778,3.5
118,qhkenoI2Z6Y,SMARS Robot Speed Build,"Jan 20, 2021",3323.0,22.5239,13.0,54650,2.78
119,COqyFJ4vIRk,Building the World's Most Advanced Wrist Computer - Is Pi-PipBoy the Future?,"Mar 27, 2023",3246.0,210.0847,30.0,33525,4.95
120,oqUUc-mqdak,"How to Draw Graphics with MicroPython, and PicoGraphics","Jul 10, 2023",3243.0,527.5987,35.0,81341,2.08
121,Kicj15rUsoM,"Ultrasonic scanner, ready when you are!","Nov 2, 2022",3182.0,9.429,5.0,16136,2.28
122,gzbTaj6ezLM,Pico Wifi Module  #shorts,"Aug 11, 2021",3091.0,25.4536,17.0,56577,2.0
123,NiDBiUGvZus,Jeff Geerling on the Raspberry Pi 5,"Sep 28, 2023",3027.0,291.5158,35.0,36823,4.75
124,ev9Mt_gg81g,Learn ROS with me Part 4 - Lidar Visualisation with RViz2,"Jan 23, 2023",2980.0,223.7089,40.0,36865,4.27
125,k8-ZZCzbPq0,Build Your Own AI Assistant Part 5 - Calendar Skill,"Aug 20, 2021",2963.0,92.8977,16.0,38323,4.79
126,eIH_dSpL4-U,PicoCrab - A Raspberry Pi Pico Powered Robot Crab,"Feb 26, 2021",2952.0,145.6811,39.0,36131,4.52
127,MWPnnRE1kR8,Raspberry Pi Zero 2 Theremin - TherePi Part 2,"Nov 19, 2021",2906.0,99.4261,12.0,19806,1.41
128,v_x5Av9yfGk,5 Things about MicroPython you need to know,"Jun 3, 2021",2903.0,128.1298,19.0,41677,4.49
129,sErnAebJtuk,How to build a robot,"Mar 11, 2022",2887.0,147.3581,54.0,51882,3.06
130,HGRvgrl8g1Q,Learn MicroPython - Part 3 Loops and Operators,"Dec 4, 2022",2816.0,258.3138,41.0,55880,2.53
131,2mmB2TD71g4,SMARS Motor Control Arduino Programming - Movement,"Jul 13, 2020",2812.0,253.7157,38.0,23586,2.79
132,CnqgSRkvhZw,How to 3d Print a SMARS Robot,"Jan 5, 2021",2801.0,150.5142,35.0,33456,5.05
133,LdWENznjdts,Transforming Air Quality with Enviro+ Sensors,"May 16, 2022",2741.0,234.5395,33.0,32502,3.86
